strategy,variant,symbol,timeframe,requested_range,actual_range,net_perf_pct,asset_perf_pct,max_drawdown_pct,positions,win_rate_pct,notes
VWAP trend / reclaim,Long-only first-bar VWAP,QQQ,5m,period=60d; interval=5m,2026-02-24 09:30:00-05:00 to 2026-05-19 15:55:00-04:00,-1.79,16.77,-2.91,36,22.22,Original research uses QQQ/TQQQ 1-minute; 5-minute Yahoo intraday limit; no costs/slippage.
Opening range breakout,Long-only first-bar ORB with volume filter,QQQ,5m,period=60d; interval=5m,2026-02-24 09:30:00-05:00 to 2026-05-19 15:55:00-04:00,4.23,16.77,-4.81,55,49.09,ETF proxy for stocks-in-play ORB source; 5-minute Yahoo intraday limit; no costs/slippage.
VWAP trend / reclaim,Long+short first-bar VWAP,QQQ,5m,period=60d; interval=5m,2026-02-24 09:30:00-05:00 to 2026-05-19 15:55:00-04:00,-2.09,16.77,-3.89,60,26.67,Original research uses QQQ/TQQQ 1-minute; 5-minute Yahoo intraday limit; no costs/slippage.
Opening range breakout,Long+short first-bar ORB with volume filter,QQQ,5m,period=60d; interval=5m,2026-02-24 09:30:00-05:00 to 2026-05-19 15:55:00-04:00,1.74,16.77,-4.84,93,46.24,ETF proxy for stocks-in-play ORB source; 5-minute Yahoo intraday limit; no costs/slippage.
VWAP trend / reclaim,Long-only first-bar VWAP,QQQ,60m,period=730d; interval=60m,2023-06-22 09:30:00-04:00 to 2026-05-19 15:30:00-04:00,-2.46,92.54,-16.68,395,40.0,Original research uses QQQ/TQQQ 1-minute; 1-hour Yahoo intraday limit; no costs/slippage.
Opening range breakout,Long-only first-bar ORB with volume filter,QQQ,60m,period=730d; interval=60m,2023-06-22 09:30:00-04:00 to 2026-05-19 15:30:00-04:00,8.66,92.54,-6.57,126,57.94,ETF proxy for stocks-in-play ORB source; 1-hour Yahoo intraday limit; no costs/slippage.
VWAP trend / reclaim,Long+short first-bar VWAP,QQQ,60m,period=730d; interval=60m,2023-06-22 09:30:00-04:00 to 2026-05-19 15:30:00-04:00,-8.98,92.54,-25.85,730,36.71,Original research uses QQQ/TQQQ 1-minute; 1-hour Yahoo intraday limit; no costs/slippage.
Opening range breakout,Long+short first-bar ORB with volume filter,QQQ,60m,period=730d; interval=60m,2023-06-22 09:30:00-04:00 to 2026-05-19 15:30:00-04:00,18.34,92.54,-7.87,305,56.07,ETF proxy for stocks-in-play ORB source; 1-hour Yahoo intraday limit; no costs/slippage.
VWAP trend / reclaim,Long-only first-bar VWAP,TQQQ,5m,period=60d; interval=5m,2026-02-24 09:30:00-05:00 to 2026-05-19 15:55:00-04:00,1.11,51.68,-7.24,36,27.78,Original research uses QQQ/TQQQ 1-minute; 5-minute Yahoo intraday limit; no costs/slippage.
Opening range breakout,Long-only first-bar ORB with volume filter,TQQQ,5m,period=60d; interval=5m,2026-02-24 09:30:00-05:00 to 2026-05-19 15:55:00-04:00,9.81,51.68,-15.46,58,46.55,ETF proxy for stocks-in-play ORB source; 5-minute Yahoo intraday limit; no costs/slippage.
VWAP trend / reclaim,Long+short first-bar VWAP,TQQQ,5m,period=60d; interval=5m,2026-02-24 09:30:00-05:00 to 2026-05-19 15:55:00-04:00,0.24,51.68,-8.83,60,30.0,Original research uses QQQ/TQQQ 1-minute; 5-minute Yahoo intraday limit; no costs/slippage.
Opening range breakout,Long+short first-bar ORB with volume filter,TQQQ,5m,period=60d; interval=5m,2026-02-24 09:30:00-05:00 to 2026-05-19 15:55:00-04:00,2.03,51.68,-15.14,98,43.88,ETF proxy for stocks-in-play ORB source; 5-minute Yahoo intraday limit; no costs/slippage.
VWAP trend / reclaim,Long-only first-bar VWAP,TQQQ,60m,period=730d; interval=60m,2023-06-22 09:30:00-04:00 to 2026-05-19 15:30:00-04:00,-3.48,268.76,-40.33,398,40.95,Original research uses QQQ/TQQQ 1-minute; 1-hour Yahoo intraday limit; no costs/slippage.
Opening range breakout,Long-only first-bar ORB with volume filter,TQQQ,60m,period=730d; interval=60m,2023-06-22 09:30:00-04:00 to 2026-05-19 15:30:00-04:00,10.36,268.76,-17.0,130,56.15,ETF proxy for stocks-in-play ORB source; 1-hour Yahoo intraday limit; no costs/slippage.
VWAP trend / reclaim,Long+short first-bar VWAP,TQQQ,60m,period=730d; interval=60m,2023-06-22 09:30:00-04:00 to 2026-05-19 15:30:00-04:00,-22.99,268.76,-56.61,729,36.49,Original research uses QQQ/TQQQ 1-minute; 1-hour Yahoo intraday limit; no costs/slippage.
Opening range breakout,Long+short first-bar ORB with volume filter,TQQQ,60m,period=730d; interval=60m,2023-06-22 09:30:00-04:00 to 2026-05-19 15:30:00-04:00,29.16,268.76,-23.32,305,54.1,ETF proxy for stocks-in-play ORB source; 1-hour Yahoo intraday limit; no costs/slippage.
Moving-average crossover,Daily SMA50/SMA200 crossover,SPY,1d,2018-01-02 to 2026-05-19,2018-01-02 00:00:00 to 2026-05-19 00:00:00,111.69,210.16,-33.72,4,75.0,Daily ETF proxy; no costs/slippage.
Relative strength / absolute momentum,Daily close > SMA200 and > 252 bars ago,SPY,1d,2018-01-02 to 2026-05-19,2018-01-02 00:00:00 to 2026-05-19 00:00:00,138.85,210.16,-17.42,17,47.06,Daily ETF proxy; no costs/slippage.
RSI(2) / mean reversion,"Daily Connors-style RSI(2)<=5 above SMA200, exit above SMA5",SPY,1d,2018-01-02 to 2026-05-19,2018-01-02 00:00:00 to 2026-05-19 00:00:00,49.22,210.16,-12.62,164,62.8,Daily ETF proxy; no costs/slippage.
Moving-average crossover,Daily SMA50/SMA200 crossover,QQQ,1d,2018-01-02 to 2026-05-19,2018-01-02 00:00:00 to 2026-05-19 00:00:00,287.48,367.0,-28.56,4,100.0,Daily ETF proxy; no costs/slippage.
Relative strength / absolute momentum,Daily close > SMA200 and > 252 bars ago,QQQ,1d,2018-01-02 to 2026-05-19,2018-01-02 00:00:00 to 2026-05-19 00:00:00,238.51,367.0,-21.88,17,47.06,Daily ETF proxy; no costs/slippage.
