family,variant,symbol,timeframe,requested_range,actual_range,net_perf_pct,asset_symbol,asset_perf_pct,excess_vs_asset_pct,beat_asset,max_drawdown_pct,positions,win_rate_pct,notes
Moving-average crossover / trend following,"SMA3/SMA252 cross, no stop",TQQQ,1d,2018-01-02 to 2026-05-19,2018-01-02 00:00:00 to 2026-05-19 00:00:00,1576.97,TQQQ,1159.15,417.83,True,-48.14,7,71.43,Daily ETF parameter search; optimized in-sample; no costs/slippage.
Moving-average crossover / trend following,"SMA3/SMA252 cross, 20% stop",TQQQ,1d,2018-01-02 to 2026-05-19,2018-01-02 00:00:00 to 2026-05-19 00:00:00,1576.97,TQQQ,1159.15,417.83,True,-48.14,7,71.43,Daily ETF parameter search; optimized in-sample; no costs/slippage.
Moving-average crossover / trend following,"SMA3/SMA252 state, no stop",TQQQ,1d,2018-01-02 to 2026-05-19,2018-01-02 00:00:00 to 2026-05-19 00:00:00,1576.97,TQQQ,1159.15,417.83,True,-48.14,7,71.43,Daily ETF parameter search; optimized in-sample; no costs/slippage.
Moving-average crossover / trend following,"SMA3/SMA252 state, 20% stop",TQQQ,1d,2018-01-02 to 2026-05-19,2018-01-02 00:00:00 to 2026-05-19 00:00:00,1576.97,TQQQ,1159.15,417.83,True,-48.14,7,71.43,Daily ETF parameter search; optimized in-sample; no costs/slippage.
Moving-average crossover / trend following,"SMA3/SMA252 state, 10% stop",TQQQ,1d,2018-01-02 to 2026-05-19,2018-01-02 00:00:00 to 2026-05-19 00:00:00,1549.48,TQQQ,1159.15,390.34,True,-48.14,8,62.5,Daily ETF parameter search; optimized in-sample; no costs/slippage.
Moving-average crossover / trend following,"SMA5/SMA20 cross, 10% stop",TQQQ,1d,2018-01-02 to 2026-05-19,2018-01-02 00:00:00 to 2026-05-19 00:00:00,1428.98,TQQQ,1159.15,269.84,True,-47.25,58,50.0,Daily ETF parameter search; optimized in-sample; no costs/slippage.
Momentum / relative strength rotation,"SPY/QQQ/TQQQ rotation, 9-month lookback, defensive BIL",SPY/QQQ/TQQQ/BIL,"Daily signal, monthly rebalance",2018-01-02 to 2026-05-19,2018-01-02 00:00:00 to 2026-05-19 00:00:00,431.06,SPY,210.16,220.89,True,-69.92,22,72.73,GEM-style monthly ETF rotation parameter search; benchmark is listed in asset_symbol.
Momentum / relative strength rotation,"SPY/QQQ/TQQQ rotation, 12-month lookback, defensive BIL",SPY/QQQ/TQQQ/BIL,"Daily signal, monthly rebalance",2018-01-02 to 2026-05-19,2018-01-02 00:00:00 to 2026-05-19 00:00:00,419.07,SPY,210.16,208.91,True,-69.92,17,70.59,GEM-style monthly ETF rotation parameter search; benchmark is listed in asset_symbol.
Momentum / relative strength rotation,"SPY/QQQ/TQQQ rotation, 3-month lookback, defensive BIL",SPY/QQQ/TQQQ/BIL,"Daily signal, monthly rebalance",2018-01-02 to 2026-05-19,2018-01-02 00:00:00 to 2026-05-19 00:00:00,415.9,SPY,210.16,205.74,True,-42.02,41,68.29,GEM-style monthly ETF rotation parameter search; benchmark is listed in asset_symbol.
Momentum / relative strength rotation,"SPY/QQQ/TQQQ rotation, 9-month lookback, defensive AGG",SPY/QQQ/TQQQ/AGG,"Daily signal, monthly rebalance",2018-01-02 to 2026-05-19,2018-01-02 00:00:00 to 2026-05-19 00:00:00,407.27,SPY,210.16,197.11,True,-69.92,22,63.64,GEM-style monthly ETF rotation parameter search; benchmark is listed in asset_symbol.
