year,strategy,return_pct,max_drawdown_pct
2020,SOXL/TQQQ Rotation with cash daily scanner,193.26,-53.4
2021,SOXL/TQQQ Rotation with cash daily scanner,140.98,-40.92
2022,SOXL/TQQQ Rotation with cash daily scanner,-40.63,-40.63
2023,SOXL/TQQQ Rotation with cash daily scanner,99.58,-29.0
2024,SOXL/TQQQ Rotation with cash daily scanner,86.6,-44.3
2025,SOXL/TQQQ Rotation with cash daily scanner,67.57,-37.78
2026,SOXL/TQQQ Rotation with cash daily scanner,242.01,-43.47
2020,SOXL buy-and-hold,60.06,-80.38
2021,SOXL buy-and-hold,121.9,-40.92
2022,SOXL buy-and-hold,-86.48,-90.34
2023,SOXL buy-and-hold,237.81,-48.99
2024,SOXL buy-and-hold,-1.8,-62.15
2025,SOXL buy-and-hold,52.9,-76.46
2026,SOXL buy-and-hold,303.39,-43.47
2020,TQQQ buy-and-hold,100.13,-69.92
2021,TQQQ buy-and-hold,91.35,-30.43
2022,TQQQ buy-and-hold,-79.68,-81.02
2023,TQQQ buy-and-hold,204.92,-33.14
2024,TQQQ buy-and-hold,66.72,-37.37
2025,TQQQ buy-and-hold,35.21,-56.84
2026,TQQQ buy-and-hold,48.94,-33.49
