Date,Symbol,Last,Chg%,Trading Rank,Trading Score,Trading View,Investment Rank,Investment Score,Investment View,Investment Note
2026-05-31,AAPL,312.0600,-0.14,16,83,Trade candidate,10,70,Buy / accumulate,"Final stance: HOLD. AAPL closed at 312.06 on 2026 05 29, with a one day return of 0.14% and a 30 calendar day TradingAgents window return of 15.11%."
2026-05-31,AMD,516.1000,-0.38,8,92,Strong trade,5,78,Buy / accumulate,"Selective trade / watch entry; 3-10 trading days; risk Medium-high. Trading score 74.0, investment score 78.0."
2026-05-31,APLD,47.2800,-4.77,5,93,Strong trade,29,41,Speculative / avoid new,"Final stance: BUY. APLD closed at 47.28 on 2026 05 29, with a one day return of 4.77% and a 30 calendar day TradingAgents window return of 38.04%."
2026-05-31,APP,613.0900,2.20,15,87,Strong trade,10,70,Buy / accumulate,"Final stance: HOLD. APP closed at 613.09 on 2026 05 29, with a one day return of 2.2% and a 30 calendar day TradingAgents window return of 37.36%."
2026-05-31,AVGO,446.7700,4.73,13,88,Watch / constructive,18,60,Hold / watch,"Final stance: HOLD. AVGO closed at 446.77 on 2026 05 29, with a one day return of 4.73% and a 30 calendar day TradingAgents window return of 7.03%."
2026-05-31,CHAT,98.2200,1.40,2,97,Strong trade,21,55,Hold / watch,"Final stance: HOLD. CHAT closed at 98.22 on 2026 05 29, with a one day return of 1.4% and a 30 calendar day TradingAgents window return of 25.94%."
2026-05-31,CRM,191.1000,8.47,26,57,Weak / neutral,5,78,Buy / accumulate,"Final stance: HOLD. CRM closed at 191.10 on 2026 05 29, with a one day return of 8.47% and a 30 calendar day TradingAgents window return of 8.25%."
2026-05-31,CRWD,731,8.94,16,83,Trade candidate,29,41,Speculative / avoid new,"Final stance: HOLD. CRWD closed at 731.00 on 2026 05 29, with a one day return of 8.94% and a 30 calendar day TradingAgents window return of 63.99%."
2026-05-31,CRWV,109.5300,2.50,23,63,Weak / neutral,33,35,Avoid long-term,"Final stance: HOLD. CRWV closed at 109.53 on 2026 05 29, with a one day return of 2.5% and a 30 calendar day TradingAgents window return of 1.85%."
2026-05-31,EUV,,,,,,21,55,Hold / watch,"Final stance: HOLD. EUV closed at 27.02 on 2026 05 29, with a one day return of 0.92% and a 30 calendar day TradingAgents window return of 2.0%."
2026-05-31,FIGR,,,,,,10,70,Buy / accumulate,"Final stance: HOLD. FIGR closed at 35.35 on 2026 05 29, with a one day return of 1.79% and a 30 calendar day TradingAgents window return of 0.71%."
2026-05-31,HOOD,94.3000,11.15,18,75,Trade candidate,10,70,Buy / accumulate,"Final stance: HOLD. HOOD closed at 94.30 on 2026 05 29, with a one day return of 11.15% and a 30 calendar day TradingAgents window return of 29.37%."
2026-05-31,IREN,63.5400,-0.80,5,93,Strong trade,18,60,Hold / watch,"Final stance: BUY. IREN closed at 63.54 on 2026 05 29, with a one day return of 0.8% and a 30 calendar day TradingAgents window return of 39.62%."
2026-05-31,LITE,854.9600,-0.66,30,45,Avoid short-term,5,78,Buy / accumulate,"Avoid near-term trade; No short-term entry; risk High. Trading score 31.1, investment score 78.0."
2026-05-31,MRVL,205,0.08,1,100,Strong trade,10,70,Buy / accumulate,"Final stance: HOLD. MRVL closed at 205.00 on 2026 05 29, with a one day return of 0.08% and a 30 calendar day TradingAgents window return of 24.13%."
2026-05-31,MSFT,450.2400,5.45,20,67,Watch / constructive,5,78,Buy / accumulate,"Final stance: HOLD. MSFT closed at 450.24 on 2026 05 29, with a one day return of 5.45% and a 30 calendar day TradingAgents window return of 10.65%."
2026-05-31,MU,971,5.14,13,88,Strong trade,3,79,Buy / accumulate,"Avoid near-term trade; No short-term entry; risk High. Trading score 35.7, investment score 79.0."
2026-05-31,NVDA,211.1400,-1.45,19,72,Watch / constructive,1,94,Strong long-term buy,"Long-term buy, wait for better short-term setup; Watch for pullback; risk Medium. Trading score 73.0, investment score 94.0."
2026-05-31,OPEN,5.0400,-0.59,31,40,Avoid short-term,29,41,Speculative / avoid new,"Final stance: HOLD. OPEN closed at 5.04 on 2026 05 29, with a one day return of 0.59% and a 30 calendar day TradingAgents window return of 6.32%."
2026-05-31,PLTR,156.5400,9.21,23,63,Weak / neutral,18,60,Hold / watch,"Final stance: HOLD. PLTR closed at 156.54 on 2026 05 29, with a one day return of 9.21% and a 30 calendar day TradingAgents window return of 12.53%."
2026-05-31,POWL,284.4200,-1.55,21,65,Watch / constructive,3,79,Buy / accumulate,"Selective trade / watch entry; 3-10 trading days; risk High. Trading score 68.7, investment score 79.0."
2026-05-31,QLD,98.4600,0.69,2,97,Strong trade,21,55,Hold / watch,"Final stance: HOLD. QLD closed at 98.46 on 2026 05 29, with a one day return of 0.69% and a 30 calendar day TradingAgents window return of 21.48%."
