family,variant,symbol,timeframe,requested_range,actual_range,net_perf_pct,asset_symbol,asset_perf_pct,excess_vs_asset_pct,beat_asset,strategy_max_drawdown_pct,asset_max_drawdown_pct,positions,win_rate_pct,notes
SMH/SOXL relative-strength rotation,"Choose stronger of SMH/SOXL by 3-month return if positive, else AGG",SMH/SOXL/AGG,"Daily signal, monthly rebalance",2010-03-11 to 2026-05-20,2010-03-11 00:00:00 to 2026-05-20 00:00:00,56123.57,SMH,4807.43,51316.14,True,-67.82,-45.3,61,60.66,Monthly ETF rotation parameter search; benchmark listed in asset_symbol.
SMH/SOXL relative-strength rotation,"Choose stronger of SMH/SOXL by 3-month return if positive, else BIL",SMH/SOXL/BIL,"Daily signal, monthly rebalance",2010-03-11 to 2026-05-20,2010-03-11 00:00:00 to 2026-05-20 00:00:00,49871.18,SMH,4807.43,45063.75,True,-67.95,-45.3,61,60.66,Monthly ETF rotation parameter search; benchmark listed in asset_symbol.
Moving-average trend,"SMA50/SMA63 state, 10% stop",SOXL,1d,2010-03-11 to 2026-05-20,2010-03-11 00:00:00 to 2026-05-20 00:00:00,48461.1,SOXL,28725.16,19735.94,True,-66.18,-90.46,77,41.56,Daily MA parameter search; optimized in-sample; no costs/slippage.
VWAP intraday,"long-only pullback, after 3 bars, no target, no stop",SMH,15m,period=60d; interval=15m,2026-02-25 09:30:00-05:00 to 2026-05-20 15:45:00-04:00,19.57,SMH,32.19,-12.62,False,-2.62,-15.69,95,43.16,Intraday VWAP parameter search; no costs/slippage.
ORB intraday,"long-only, 3-bar ORB, volume >= 2.0x SMA20, no target",SMH,5m,period=60d; interval=5m,2026-02-25 09:30:00-05:00 to 2026-05-20 15:55:00-04:00,6.02,SMH,32.75,-26.73,False,-3.58,-15.77,32,50.0,Intraday opening-range parameter search; no costs/slippage.
VWAP intraday,"long-only pullback, after 3 bars, no target, 1.0% stop",SOXL,15m,period=60d; interval=15m,2026-02-25 09:30:00-05:00 to 2026-05-20 15:45:00-04:00,86.74,SOXL,140.69,-53.95,False,-13.19,-44.97,79,40.51,Intraday VWAP parameter search; no costs/slippage.
ORB intraday,"long-only, 3-bar ORB, no volume filter, no target",SOXL,5m,period=60d; interval=5m,2026-02-25 09:30:00-05:00 to 2026-05-20 15:55:00-04:00,40.57,SOXL,143.77,-103.2,False,-12.21,-45.15,44,50.0,Intraday opening-range parameter search; no costs/slippage.
Moving-average trend,"SMA13/SMA200 state, no stop",SMH,1d,2010-03-11 to 2026-05-20,2010-03-11 00:00:00 to 2026-05-20 00:00:00,2591.23,SMH,4807.43,-2216.21,False,-33.02,-45.3,14,50.0,Daily MA parameter search; optimized in-sample; no costs/slippage.
Absolute momentum,"126-day positive return, no trend SMA, no stop",SMH,1d,2010-03-11 to 2026-05-20,2010-03-11 00:00:00 to 2026-05-20 00:00:00,1688.0,SMH,4807.43,-3119.43,False,-37.44,-45.3,63,38.1,Daily absolute momentum parameter search; optimized in-sample; no costs/slippage.
RSI pullback,"RSI3<=20, above SMA200, exit above SMA5, no stop",SMH,1d,2010-03-11 to 2026-05-20,2010-03-11 00:00:00 to 2026-05-20 00:00:00,609.91,SMH,4807.43,-4197.52,False,-11.89,-45.3,239,71.55,Daily RSI pullback parameter search; optimized in-sample; no costs/slippage.
Absolute momentum,"84-day positive return, above SMA150, 10% stop",SOXL,1d,2010-03-11 to 2026-05-20,2010-03-11 00:00:00 to 2026-05-20 00:00:00,19071.56,SOXL,28725.16,-9653.6,False,-71.73,-90.46,65,30.77,Daily absolute momentum parameter search; optimized in-sample; no costs/slippage.
RSI pullback,"RSI2<=25, above SMA200, exit above SMA20, 10% stop",SOXL,1d,2010-03-11 to 2026-05-20,2010-03-11 00:00:00 to 2026-05-20 00:00:00,3928.2,SOXL,28725.16,-24796.96,False,-54.19,-90.46,487,26.49,Daily RSI pullback parameter search; optimized in-sample; no costs/slippage.
